iter	Passed	Remaining
0	0	87
1	1	90
2	2	88
3	3	92
4	5	98
5	6	103
6	8	111
7	9	110
8	11	115
9	12	116
10	13	113
11	16	118
12	18	123
13	20	125
14	22	126
15	24	127
16	26	128
17	28	128
18	30	129
19	31	127
20	33	127
21	35	126
22	37	124
23	38	121
24	40	122
25	42	121
26	44	120
27	46	119
28	47	117
29	49	114
30	50	112
31	52	111
32	54	110
33	56	108
34	57	107
35	59	105
36	61	104
37	62	102
38	64	100
39	65	98
40	67	96
41	68	94
42	69	92
43	70	90
44	72	88
45	73	86
46	75	85
47	77	83
48	78	82
49	80	80
50	82	79
51	84	77
52	85	75
53	87	74
54	88	72
55	89	70
56	90	68
57	92	66
58	93	64
59	94	63
60	96	61
61	97	59
62	99	58
63	100	56
64	101	54
65	102	52
66	104	51
67	105	49
68	106	47
69	107	46
70	108	44
71	110	42
72	111	41
73	112	39
74	114	38
75	115	36
76	116	34
77	117	33
78	118	31
79	120	30
80	121	28
81	122	26
82	123	25
83	124	23
84	125	22
85	126	20
86	127	19
87	128	17
88	129	15
89	130	14
90	131	12
91	132	11
92	133	10
93	134	8
94	135	7
95	136	5
96	136	4
97	137	2
98	138	1
99	140	0
